Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dsmvosd
000651,2017/1/3,24.7,25.24,24.7,25.06,149623295.6
000651,2017/1/4,25.09,25.23,24.88,25.14,150100943.8
000651,2017/1/5,25.19,25.38,25.09,25.26,150817416.1
000651,2017/1/6,25.2,25.21,24.85,25,149265059.5
000651,2017/1/9,25,25,24.5,24.74,147712702.9
000651,2017/1/10,24.74,24.97,24.51,24.93,148847117.3
000651,2017/1/11,24.86,25.08,24.58,24.68,147354466.7
000651,2017/1/12,24.62,24.73,24.27,24.31,145145343.8
000651,2017/1/13,24.37,24.45,24.14,24.16,144249753.5
000651,2017/1/16,24.16,24.16,23.31,23.79,142040630.6
000651,2017/1/17,23.79,24.19,23.69,24.17,144309459.5
000651,2017/1/18,24.26,25.15,24.26,24.96,149026235.4
000651,2017/1/19,25,25.15,24.77,24.88,148548587.2
000651,2017/1/20,24.89,25.55,24.89,25.37,151474182.4
000651,2017/1/23,25.51,25.84,25.21,25.28,150936828.1
000651,2017/1/24,25.27,25.43,25.1,25.32,151175652.2
000651,2017/1/25,25.25,25.5,25.13,25.5,152250360.7
000651,2017/1/26,25.5,25.94,25.5,25.78,153922129.3
000651,2017/2/3,25.7,25.77,25.3,25.39,151593594.4
000651,2017/2/6,25.38,25.54,25.15,25.26,150817416.1
000651,2017/2/7,25.23,25.23,24.99,25.13,150041237.8
000651,2017/2/8,25.17,25.45,25.09,25.35,151354770.3
000651,2017/2/9,25.4,25.8,25.4,25.62,152966833
000651,2017/2/10,25.7,26.18,25.61,25.97,155056543.8
000651,2017/2/13,25.97,27.13,25.94,27.1,161803324.5
000651,2017/2/14,27.3,27.74,26.77,26.9,160609204
000651,2017/2/15,26.9,27.35,26.75,26.99,161146558.2
000651,2017/2/16,26.91,27.59,26.82,27.59,164728919.6
000651,2017/2/17,27.7,27.9,27.18,27.41,163654211.2
000651,2017/2/20,27.46,28.66,27.45,28.55,170460697.9
000651,2017/2/21,28.48,28.63,28.06,28.24,168609811.2
000651,2017/2/22,28.1,28.5,27.9,28.32,169087459.4
000651,2017/2/23,28.31,28.59,27.8,27.91,166639512.4
000651,2017/2/24,27.97,28.14,27.23,27.85,166281276.3
000651,2017/2/27,27.8,27.8,27.1,27.13,161982442.5
000651,2017/2/28,27.09,27.57,27.09,27.44,163833329.3
000651,2017/3/1,27.5,27.75,27.31,27.46,163952741.3
000651,2017/3/2,27.5,27.63,27.23,27.31,163057151
000651,2017/3/3,27.28,27.42,27.05,27.3,162997445
000651,2017/3/6,27.31,28.25,27.31,28.15,168072457
000651,2017/3/7,28.2,28.36,28.05,28.23,168550105.2
000651,2017/3/8,28.27,28.48,27.85,28.09,167714220.8
000651,2017/3/9,28.23,28.88,28.23,28.4,169565107.6
000651,2017/3/10,28.51,29.04,28.3,28.96,172908644.9
000651,2017/3/13,29,29.46,28.6,28.87,172371290.7
000651,2017/3/14,28.88,28.96,28.48,28.71,171415994.3
000651,2017/3/15,28.74,29.55,28.6,29.3,174938649.7
000651,2017/3/16,29.39,29.8,29.06,29.23,174520707.5
000651,2017/3/17,29.22,29.48,28.8,28.81,172013054.5
000651,2017/3/20,29.08,29.45,28.89,29.26,174699825.6
000651,2017/3/21,29.4,30.35,29.23,30.34,181148076.2
000651,2017/3/22,30.13,30.69,30.01,30.5,182103372.6
000651,2017/3/23,30.38,31.26,30.18,31.2,186282794.2
000651,2017/3/24,31.36,32.68,31.29,31.54,188312799
000651,2017/3/27,31.51,32.21,30.68,30.71,183357199.1
000651,2017/3/28,30.75,31.16,30.25,30.8,183894553.3
000651,2017/3/29,30.79,31.39,30.48,31.2,186282794.2
000651,2017/3/30,31.08,31.36,30.1,30.72,183416905.1
000651,2017/3/31,30.64,31.7,30.54,31.7,189268095.4
000651,2017/4/5,31.75,31.94,31.26,31.46,187835150.8
000651,2017/4/6,31.39,32,31.18,32,191059276.1
000651,2017/4/7,31.93,32.6,31.75,31.81,189924861.7
000651,2017/4/10,31.81,31.94,31.41,31.52,188193387
000651,2017/4/11,31.41,31.59,29.72,30.83,184073671.3
000651,2017/4/12,30.5,31.09,30.2,30.81,183954259.3
000651,2017/4/13,30.79,31.36,30.64,31.25,186581324.3
000651,2017/4/14,31.24,31.25,30.67,30.68,183178081
000651,2017/4/17,30.8,31.75,30.76,31.75,189566625.5
000651,2017/4/18,31.8,32.53,31.65,32.23,192432514.7
000651,2017/4/19,32.2,33.21,32.03,33.21,198283705
000651,2017/4/20,33.23,34.18,33,33.02,197149290.6
000651,2017/4/21,32.85,33.36,32.57,32.91,196492524.3
000651,2017/4/24,32.8,33.3,32.01,32.51,194104283.3
000651,2017/4/25,32.61,33.88,32.57,33.84,202045184.5
000651,2017/4/26,34,34.99,33.28,33.43,199597237.5
000651,2017/4/27,33.66,33.8,32.75,33.58,200492827.9
000651,2017/4/28,33.66,33.7,32.51,33,197029878.5
000651,2017/5/2,32.7,33.09,32.26,32.97,196850760.4
000651,2017/5/3,32.98,33.28,32.51,32.65,194940167.7
000651,2017/5/4,32.66,32.92,32.43,32.66,194999873.7
