Indexcd,Trddt,Opnindex,Hiindex,Loindex,Clsindex,Retindex
000001,2017/1/3,3105.309,3136.456,3105.309,3135.921,0.010402
000001,2017/1/4,3133.787,3160.103,3130.115,3158.794,0.007294
000001,2017/1/5,3157.906,3168.502,3154.281,3165.411,0.002095
000001,2017/1/6,3163.776,3172.035,3153.025,3154.321,-0.003503
000001,2017/1/9,3148.532,3173.136,3147.735,3171.236,0.005362
000001,2017/1/10,3167.57,3174.578,3157.332,3161.671,-0.003016
000001,2017/1/11,3156.686,3167.029,3136.267,3136.753,-0.007881
000001,2017/1/12,3133.602,3144.97,3115.979,3119.289,-0.005568
000001,2017/1/13,3116.083,3130.515,3102.163,3112.764,-0.002092
000001,2017/1/16,3104.492,3105.142,3044.291,3103.428,-0.002999
000001,2017/1/17,3087.03,3108.907,3072.338,3108.775,0.001723
000001,2017/1/18,3104.766,3123.72,3098.586,3113.012,0.001363
000001,2017/1/19,3104.972,3115.778,3094.006,3101.299,-0.003763
000001,2017/1/20,3095.818,3125.66,3095.215,3123.139,0.007042
000001,2017/1/23,3125.421,3145.841,3125.421,3136.775,0.004366
000001,2017/1/24,3134.592,3149.531,3131.218,3142.553,0.001842
000001,2017/1/25,3137.646,3151.472,3133.191,3149.555,0.002228
000001,2017/1/26,3149.217,3163.104,3148.908,3159.166,0.003052
000001,2017/2/3,3160.082,3162.677,3136.013,3140.17,-0.006013
000001,2017/2/6,3143.093,3158.843,3135.387,3156.984,0.005354
000001,2017/2/7,3154.405,3159.544,3140.036,3153.088,-0.001234
000001,2017/2/8,3148.086,3167.447,3132.033,3166.982,0.004406
000001,2017/2/9,3164.688,3186.838,3162.574,3183.179,0.005114
000001,2017/2/10,3183.007,3205.049,3182.802,3196.699,0.004247
000001,2017/2/13,3198.995,3219.407,3198.995,3216.839,0.0063
000001,2017/2/14,3216.137,3219.405,3205.285,3217.928,0.000339
000001,2017/2/15,3215.464,3235.998,3206.561,3212.986,-0.001536
000001,2017/2/16,3210.357,3230.275,3207.785,3229.618,0.005176
000001,2017/2/17,3227.707,3238.396,3199.425,3202.076,-0.008528
000001,2017/2/20,3198.963,3241.458,3198.963,3239.961,0.011831
000001,2017/2/21,3242.223,3254.336,3239.878,3253.326,0.004125
000001,2017/2/22,3252.69,3261.381,3243.84,3261.218,0.002426
000001,2017/2/23,3258.832,3264.082,3236.355,3251.375,-0.003018
000001,2017/2/24,3246.86,3253.956,3233.535,3253.433,0.000633
000001,2017/2/27,3249.195,3251.654,3224.088,3228.66,-0.007614
000001,2017/2/28,3225.969,3242.679,3225.969,3241.733,0.004049
000001,2017/3/1,3240.073,3259.978,3237.871,3246.934,0.001604
000001,2017/3/2,3250.518,3256.807,3228.665,3230.028,-0.005207
000001,2017/3/3,3219.202,3221.155,3206.613,3218.312,-0.003627
000001,2017/3/6,3217.334,3234.663,3215.067,3233.866,0.004833
000001,2017/3/7,3233.094,3242.659,3226.822,3242.406,0.002641
000001,2017/3/8,3240.532,3245.304,3230.608,3240.665,-0.000537
000001,2017/3/9,3233.701,3233.875,3205.279,3216.746,-0.007381
000001,2017/3/10,3213.729,3222.319,3208.447,3212.76,-0.001239
000001,2017/3/13,3209.449,3237.121,3193.157,3237.024,0.007552
000001,2017/3/14,3235.251,3246.329,3231.521,3239.328,0.000712
