Indexcd,Trddt,Opnindex,Hiindex,Loindex,Clsindex,Retindex
000001,2016/1/4,3536.589,3538.689,3295.741,3296.66,-0.068525
000001,2016/1/5,3196.651,3328.139,3189.605,3287.711,-0.002593
000001,2016/1/6,3291.195,3362.974,3288.933,3361.84,0.022547
000001,2016/1/7,3309.657,3309.657,3115.885,3125.002,-0.070449
000001,2016/1/8,3194.625,3235.451,3056.878,3186.412,0.019651
000001,2016/1/11,3131.853,3166.215,3016.697,3016.704,-0.05326
000001,2016/1/12,3026.159,3047.664,2978.463,3022.861,0.002041
000001,2016/1/13,3041.107,3059.015,2949.29,2949.597,-0.024237
000001,2016/1/14,2874.049,3012.293,2867.553,3007.649,0.019681
000001,2016/1/15,2988.048,3001.708,2883.868,2900.97,-0.035469
000001,2016/1/18,2847.539,2945.45,2844.704,2913.837,0.004435
000001,2016/1/19,2914.408,3012.068,2906.404,3007.739,0.032226
000001,2016/1/20,2993.014,3016.283,2951.922,2976.694,-0.010322
000001,2016/1/21,2934.391,2998.79,2880.085,2880.482,-0.032322
000001,2016/1/22,2911.112,2931.359,2851.733,2916.562,0.012526
000001,2016/1/25,2934.078,2955.783,2911.829,2938.515,0.007527
000001,2016/1/26,2907.718,2911.991,2743.839,2749.785,-0.064226
000001,2016/1/27,2756.082,2768.772,2638.302,2735.558,-0.005174
000001,2016/1/28,2711.158,2740.536,2647.493,2655.661,-0.029207
000001,2016/1/29,2652.854,2755.367,2649.791,2737.6,0.030854
000001,2016/2/1,2730.984,2735.255,2655.623,2688.854,-0.017806
000001,2016/2/2,2687.982,2755.159,2687.982,2749.57,0.022581
000001,2016/2/3,2719.574,2746.072,2696.884,2739.247,-0.003754
000001,2016/2/4,2751.432,2793.298,2751.314,2781.023,0.015251
000001,2016/2/5,2783.076,2790.061,2762.16,2763.492,-0.006304
000001,2016/2/15,2684.961,2760.359,2682.09,2746.196,-0.006259
000001,2016/2/16,2758.579,2840.622,2758.579,2836.571,0.032909
000001,2016/2/17,2829.764,2868.701,2824.356,2867.338,0.010847
000001,2016/2/18,2881.777,2893.215,2857.699,2862.893,-0.00155
000001,2016/2/19,2854.904,2872.724,2840.488,2860.021,-0.001003
000001,2016/2/22,2888.598,2933.964,2880.347,2927.175,0.02348
000001,2016/2/23,2925.708,2928.048,2872.282,2903.331,-0.008146
000001,2016/2/24,2889.885,2929.871,2872.274,2928.896,0.008805
000001,2016/2/25,2922.237,2922.237,2729.851,2741.245,-0.064069
000001,2016/2/26,2760.058,2784.753,2715.874,2767.21,0.009472
000001,2016/2/29,2754.814,2755.89,2638.963,2687.979,-0.028632
000001,2016/3/1,2688.38,2747.562,2668.757,2733.17,0.016812
000001,2016/3/2,2733.767,2852.7,2732.539,2849.681,0.042629
000001,2016/3/3,2847.331,2878.445,2840.874,2859.758,0.003536
000001,2016/3/4,2848.538,2880.372,2808.849,2874.147,0.005032
000001,2016/3/7,2886.64,2911.839,2871.346,2897.34,0.00807
000001,2016/3/8,2895.666,2902.621,2802.563,2901.387,0.001397
000001,2016/3/9,2839.411,2863.015,2811.718,2862.556,-0.013384
000001,2016/3/10,2847.567,2863.176,2803.476,2804.726,-0.020202
000001,2016/3/11,2781.6,2815.607,2772.551,2810.307,0.00199
000001,2016/3/14,2830.084,2889.816,2823.028,2859.499,0.017504
000001,2016/3/15,2853.978,2865.787,2819.795,2864.368,0.001703
000001,2016/3/16,2858.709,2881.529,2854.192,2870.43,0.002116
000001,2016/3/17,2875.411,2921,2857.191,2904.832,0.011985
000001,2016/3/18,2915.518,2971.551,2908.742,2955.15,0.017322
000001,2016/3/21,2978.455,3028.322,2973.758,3018.802,0.021539
000001,2016/3/22,3001.63,3019.101,2988.426,2999.363,-0.006439
000001,2016/3/23,2991.169,3012.56,2980.855,3009.96,0.003533
000001,2016/3/24,2986.801,2998.154,2960.537,2960.97,-0.016276
000001,2016/3/25,2956.2,2981.408,2952.106,2979.434,0.006236
000001,2016/3/28,2988.01,3008.168,2948.526,2957.82,-0.007254
000001,2016/3/29,2956.705,2962.203,2905.251,2919.832,-0.012843
000001,2016/3/30,2941.218,3001.106,2941.218,3000.645,0.027677
